epoch,step,train_loss,val/best_f1,val_loss
0,278,,0.9117646813392639,0.384305864572525
0,278,0.5146433115005493,,
1,557,,0.9230769276618958,0.35407453775405884
1,557,0.2050621658563614,,
2,836,,0.800000011920929,0.2842617332935333
2,836,0.15582717955112457,,
3,1115,,0.8264462947845459,0.26206493377685547
3,1115,0.12704330682754517,,
4,1394,,0.7090908885002136,0.25793272256851196
4,1394,0.10903026163578033,,
5,1673,,0.7863247990608215,0.2292117178440094
5,1673,0.09573899209499359,,
6,1952,,0.6972476840019226,0.2218974381685257
6,1952,0.08645599335432053,,
7,2231,,0.678260862827301,0.2205999791622162
7,2231,0.08135935664176941,,
8,2510,,0.7804877758026123,0.2165040820837021
8,2510,0.07869839668273926,,
9,2789,,0.6386554837226868,0.2197275608778
9,2789,0.0745949074625969,,
10,3068,,0.6491228342056274,0.21448689699172974
10,3068,0.07075100392103195,,
11,3347,,0.5462555289268494,0.22254076600074768
11,3347,0.06710473448038101,,
12,3626,,0.7014925479888916,0.20411908626556396
12,3626,0.06426049768924713,,
13,3905,,0.671875,0.20934943854808807
13,3905,0.06189969554543495,,
14,4184,,0.6315789222717285,0.21546778082847595
14,4184,0.06074274331331253,,
