epoch,step,train_loss,val/best_f1,val_loss
0,278,,0.9076923131942749,0.3115523159503937
0,278,0.44761887192726135,,
1,557,,0.9007633328437805,0.2505353093147278
1,557,0.1535533219575882,,
2,836,,0.8888888955116272,0.21841645240783691
2,836,0.11723262071609497,,
3,1115,,0.8888888955116272,0.19904707372188568
3,1115,0.09959737956523895,,
4,1394,,0.8640000224113464,0.1838475912809372
4,1394,0.0884704440832138,,
5,1673,,0.8640000224113464,0.17367126047611237
5,1673,0.08032245934009552,,
6,1952,,0.8617886304855347,0.16838163137435913
6,1952,0.07461780309677124,,
7,2231,,0.8617886304855347,0.15797220170497894
7,2231,0.0701465979218483,,
8,2510,,0.8617886304855347,0.15170015394687653
8,2510,0.06644833832979202,,
9,2789,,0.8617886304855347,0.1487157642841339
9,2789,0.06323873996734619,,
10,3068,,0.8617886304855347,0.14335444569587708
10,3068,0.06047458201646805,,
11,3347,,0.8617886304855347,0.1372741013765335
11,3347,0.05839027091860771,,
12,3626,,0.8548387289047241,0.13384385406970978
12,3626,0.05590776726603508,,
13,3905,,0.8617886304855347,0.13053399324417114
13,3905,0.05430638790130615,,
14,4184,,0.8548387289047241,0.12665975093841553
14,4184,0.0522337406873703,,
