epoch,step,train_loss,val/best_f1,val_loss
0,2388,,0.0,0.15521039068698883
0,2388,0.1882629692554474,,
1,4777,,0.0,0.12306279689073563
1,4777,0.08814860135316849,,
2,7166,,0.0,0.10518673062324524
2,7166,0.0716068372130394,,
3,9555,,0.0,0.10154996812343597
3,9555,0.06317119300365448,,
4,11944,,0.0,0.09088195115327835
4,11944,0.057469163089990616,,
5,14333,,0.0,0.09037787467241287
5,14333,0.053886886686086655,,
6,16722,,0.0,0.08652377128601074
6,16722,0.04996288940310478,,
7,19111,,0.0,0.08039159327745438
7,19111,0.048021379858255386,,
8,21500,,0.0,0.0762973204255104
8,21500,0.0464465394616127,,
9,23889,,0.0,0.0728304535150528
9,23889,0.043696481734514236,,
10,26278,,0.0,0.0717657133936882
10,26278,0.04302969574928284,,
11,28667,,0.0,0.06874552369117737
11,28667,0.04178842529654503,,
12,31056,,0.0,0.06665899604558945
12,31056,0.04027612879872322,,
13,33445,,0.0,0.06645641475915909
13,33445,0.03919423744082451,,
14,35834,,0.0,0.063949353992939
14,35834,0.03829397261142731,,
15,38223,,0.0,0.062041718512773514
15,38223,0.03799852356314659,,
16,40612,,0.0,0.06223306432366371
16,40612,0.036366868764162064,,
17,43001,,0.0,0.06085038557648659
17,43001,0.03590380400419235,,
18,45390,,0.0,0.059888098388910294
18,45390,0.03522758558392525,,
19,47779,,0.0,0.059394702315330505
19,47779,0.03531552478671074,,
20,50168,,0.0,0.05796169489622116
20,50168,0.034020524471998215,,
21,52557,,0.0,0.059036266058683395
21,52557,0.03332497924566269,,
22,54946,,0.0,0.056386735290288925
22,54946,0.032813724130392075,,
23,57335,,0.0,0.056896984577178955
23,57335,0.033222198486328125,,
24,59724,,0.0,0.055317193269729614
24,59724,0.03239826858043671,,
25,62113,,0.0,0.056846342980861664
25,62113,0.03188338875770569,,
26,64502,,0.0,0.05481921136379242
26,64502,0.031174464151263237,,
27,66891,,0.0,0.05382249504327774
27,66891,0.03066156804561615,,
28,69280,,0.0,0.05367761105298996
28,69280,0.030771790072321892,,
29,71669,,0.0,0.053264934569597244
29,71669,0.03030778281390667,,
30,74058,,0.0,0.05288755148649216
30,74058,0.029715046286582947,,
31,76447,,0.0,0.052287887781858444
31,76447,0.029730618000030518,,
32,78836,,0.0,0.05115370824933052
32,78836,0.02912474237382412,,
33,81225,,0.0,0.05052270367741585
33,81225,0.029025716707110405,,
34,83614,,0.0,0.051569581031799316
34,83614,0.02894589677453041,,
35,86003,,0.0,0.05117595195770264
35,86003,0.0289017166942358,,
36,88392,,0.0,0.049739617854356766
36,88392,0.02815422974526882,,
37,90781,,0.0,0.051518697291612625
37,90781,0.028047094121575356,,
38,93170,,0.0,0.050080910325050354
38,93170,0.02852690778672695,,
39,95559,,0.0,0.04964297637343407
39,95559,0.02743290364742279,,
40,97948,,0.0,0.049232665449380875
40,97948,0.027426980435848236,,
41,100337,,0.0,0.05209077522158623
41,100337,0.027047960087656975,,
42,102726,,0.0,0.04903026297688484
42,102726,0.02700197510421276,,
43,105115,,0.0,0.04856795817613602
43,105115,0.02666221745312214,,
44,107504,,0.0,0.047166015952825546
44,107504,0.027492031455039978,,
45,109893,,0.0,0.047019314020872116
45,109893,0.026357941329479218,,
46,112282,,0.0,0.046079475432634354
46,112282,0.026090148836374283,,
47,114671,,0.0,0.047627776861190796
47,114671,0.02687813714146614,,
48,117060,,0.0,0.047188155353069305
48,117060,0.025836044922471046,,
49,119449,,0.0,0.04590681940317154
49,119449,0.025983909144997597,,
